MoveReg  Version 3.01
Execution at 11:39, 28-JUN-2019
series: varName                 
series begins: 2012 week: 26
series ends:   2019 week: 22
output file: results.out         

wk  year          sa   safactor        obs    outlier
 0     0      10667.     1.0054     10724.     1.0000
 0     0      10687.     1.0044     10734.     1.0000
 0     0      10705.     1.0038     10745.     1.0000
 0     0      10726.     1.0028     10756.     1.0000
 0     0      10759.     1.0037     10799.     1.0000
 0     0      10765.     1.0052     10821.     1.0000
 0     0      10786.     1.0041     10831.     1.0000
 0     0      10812.     1.0038     10853.     1.0000
 0     0      10840.     1.0022     10864.     1.0000
 0     0      10868.     1.0006     10875.     1.0000
 0     0      10888.     0.9988     10875.     1.0000
 0     0      10902.     0.9975     10875.     1.0000
 0     0      10914.     0.9964     10875.     1.0000
 0     0      10928.     0.9952     10875.     1.0000
 0     0      10944.     0.9947     10886.     1.0000
 0     0      10958.     0.9934     10886.     1.0000
 0     0      10971.     0.9932     10896.     1.0000
 0     0      10981.     0.9922     10896.     1.0000
 0     0      10996.     0.9919     10907.     1.0000
 0     0      11011.     0.9915     10918.     1.0000
 0     0      11028.     0.9920     10940.     1.0000
 0     0      11042.     0.9917     10951.     1.0000
 0     0      11054.     0.9917     10962.     1.0000
 0     0      11068.     0.9915     10973.     1.0000
 0     0      11079.     0.9914     10984.     1.0000
 0     0      11092.     0.9913     10995.     1.0000
 0     0      11111.     0.9915     11017.     1.0000
 0     0      11120.     0.9917     11028.     1.0000
 0     0      11126.     0.9922     11039.     1.0000
 0     0      11117.     0.9940     11050.     1.0000
 0     0      11114.     0.9959     11068.     1.0000
 0     0      11112.     0.9984     11094.     1.0000
 0     0      11121.     1.0007     11128.     1.0000
 0     0      11121.     1.0016     11139.     1.0000
 0     0      11122.     1.0025     11150.     1.0000
 0     0      11118.     1.0039     11161.     1.0000
 0     0      11129.     1.0048     11183.     1.0000
 0     0      11145.     1.0055     11206.     1.0000
 0     0      11156.     1.0064     11228.     1.0000
 0     0      11182.     1.0061     11251.     1.0000
 0     0      11202.     1.0064     11273.     1.0000
 0     0      11226.     1.0062     11296.     1.0000
 0     0      11249.     1.0062     11318.     1.0000
 0     0      11270.     1.0063     11341.     1.0000
 0     0      11293.     1.0062     11363.     1.0000
 0     0      11318.     1.0060     11386.     1.0000
 0     0      11337.     1.0064     11409.     1.0000
 0     0      11362.     1.0062     11432.     1.0000
 0     0      11385.     1.0062     11455.     1.0000
 0     0      11410.     1.0059     11478.     1.0000
 0     0      11436.     1.0057     11501.     1.0000
 0     0      11469.     1.0058     11535.     1.0000
 0     0      11499.     1.0052     11558.     1.0000
 0     0      11521.     1.0042     11570.     1.0000
 0     0      11541.     1.0035     11581.     1.0000
 0     0      11561.     1.0028     11593.     1.0000
